,Stock,Price,Needle strength,Compilation,URL
Lana Grossa Gomitolo Selezione 1 1001 Red / Bright Pink / Orange / Yellow / Rose / Raw White,8 left,"9,79",4.5 - 5 mm,"80% Katoen, 10% Viscose & 10% Polyacrylic",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-selezione-1
Lana Grossa Bacca 001,in stock,"5,85",4.5 - 5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lana-grossa/langa-grossa-bacca
Rico Essentials Organic Cotton Aran 001 White,out of stock for now,"3,43",4 - 5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-essentials-organic-cotton-aran
Rico Essentials Organic Cotton dk 001 White,in stock,"3,43",4 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-essentials-organic-cotton-dk
Schachenmayr Catania A Journey Underwater,in stock,"39,29",no data,no data,https://www.wollplatz.de/pakete/garnpakete/schachenmayr-catania-a-journey-underwater
Durable Soqs Tweed 225 Vintage Pink,in stock,"3,54",2.5 - 3 mm,"72% Superwash wol, 25% Polyamide & 3% Viscose",https://www.wollplatz.de/wolle/durable/durable-soqs-tweed
Lang Yarns Wooladdicts Pride 023 Silver,out of product range,"10,77","3,5 - 4 mm","40% Linnen, 32% Katoen & 28% Viscose",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-wooladdicts-pride
Lang Yarns Wooladdicts Joy 027 Peony,14 left,"5,85","5 - 5,5 mm",50% Organic Katoen & 50% Lyocell,https://www.wollplatz.de/woll/lang-yarns/lang-yarns-wooladdicts-joy
Lang Yarns Lotus 003 Grey,in stock,"9,79","3 - 3,5 mm",60% Katoen & 40% Kasjmier,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-lotus
Lang Yarns Carly 009 Rose,13 left,"5,85","3 - 3,5 mm",80% Katoen & 20% Nylon,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-carly
Lang Yarns Aura 009 Rose,in stock,"7,82",4 - 5 mm,81% Katoen & 19% Nylon,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-aura
Lang Yarns Regina 013 Pale Yellow,in stock,"9,79","3,5 - 4 mm",no data,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-regina
Lang Yarns Crealino 003 Grey,in stock,"8,36",3 - 4 mm,no data,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-crealino
Lang Yarns Linello 015 Cognac / Bordeaux,in stock,"13,72","3,5 - 4 mm","40% Linnen, 32% Katoen & 28% Viscose",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns/linello
Pink Label Create-it 010 Jesse - Smooth Blue,in stock,"8,85",7 - 8 mm,100% Polyester,https://www.wollplatz.de/wolle/pink-label/pink-label-create-it
Pink Label Felt-it 012 Lizz - Cement Grey,in stock,"3,44",5 - 6 mm,100% Nylon,https://www.wollplatz.de/wolle/pink-label/pink-label-felt-it
Katia Mediterranea 400 Turquoise / Fuchsia / Yellow,in stock,"9,79",2.5 - 3.5 mm,100% Egyptisch Katoen,https://www.wollplatz.de/wolle/katia/katia-mediterranea
Katia Missouri 1 White,in stock,"3,44","2,5-3,5 mm",60% Katoen & 40% Acryl,https://www.wollplatz.de/wolle/katia/katia-missouri
Katia Sonajero 202 Pale Red / Green,in stock,"3,92","2,5 - 3,5 mm",60% Katoen & 40% Acryl,https://www.wollplatz.de/wolle/katia/katia-sonajero
Katia New Cancun 51 Light Beige,in stock,"2,90",3 - 3.5 mm,50% Acryl & 50% Katoen,https://www.wollplatz.de/wolle/katia/katia-new-cancun
Katia Alabama 1 White,in stock,"3,44","3,5-4 mm",50% Acryl & 50% Katoen,https://www.wollplatz.de/wolle/katia/katia-alabama
Katia Easy Knit Cotton 1 White,13 left,"6,84",5-6 mm,100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-easy-knit-cotton
Katia Yucatán 080 Fawn Brown,out of product range,"5,11",4.5 - 5.5 mm,"39% Viscose, 38% Polyester, 16% Katoen & 7% Polyamide",https://www.wollplatz.de/wolle/katia/katia-yucatan
Katia Macramé Cord 100 Ecru,in stock,"11,75",5 mm,"65% Katoen, 25% Polyester & 10% Overige vezels",https://www.wollplatz.de/wolle/katia/katia-macrame-cord
Katia Macramé Cord Fine 200 White,in stock,"6,84",2.5 mm,50% Gerecycled katoen & 50% Gerecycled polyester,https://www.wollplatz.de/wolle/katia/katia-macrame-cord-fine
Katia Soft Macramé 500 Bleach Brown,in stock,"14,70",10 mm,50% Gerecycled Katoen & 50% Organisch Katoen,https://www.wollplatz.de/wolle/katia/katia-soft-macrame
Katia United Cotton 1 White,in stock,"1,48",4-5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-united-cotton
Katia Fair Cotton Mariner 200 Ocean Blue / Dark Turquoise / White,in stock,"22,52","2,5-3,5 mm",100% Organisch Katoen GOTS,https://www.wollplatz.de/wolle/katia/katia-fair-cotton-mariner
Katia Homemade 100 Ecru,in stock,"6,84",7 - 9 mm,68% Katoen & 32% Polyamide,https://www.wollplatz.de/wolle/katia/katia-homemade
Katia Baby Ultrasoft 060 White,in stock,"2,90",4-4.5 mm,100% Acryl,https://www.wollplatz.de/wolle/katia/katia-baby-ultrasoft
Katia Linen 001 White,in stock,"4,43",3 - 4 mm,53% Katoen & 47% Linnen,https://www.wollplatz.de/wolle/katia/katia-linen
Katia Sweet Cocoon 80 White,in stock,"4,87","4,4.5 & 5 mm",65% Viscose & 35% Polyamide,https://www.wollplatz.de/wolle/katia/katia-sweet-cocoon
Katia Panama 1 White,in stock,"3,69","2,5-3 mm",100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-panama
Katia Ekos 100 White,in stock,"2,90",5-5.5 mm,"50% Gerecycled Katoen, 47% Gerecycled polyester uit plastic flessen & 3% Overige vezels",https://www.wollplatz.de/wolle/katia/katia-ekos
Katia Genesis 300 Turquoise / Light Orange / Bleach Red / Green,in stock,"17,65",3-3.5 mm,50% Gerecycled Polyester & 50% Katoen,https://www.wollplatz.de/wolle/katia/katia-genesis
Phildar Phil Perle 5 2014 Blanc,in stock,"3,24","2 - 2,5 mm",100% Baumwolle,https://www.wollplatz.de/artikel/41461/phildar-phil-perle-5.html
Katia Seacell Cotton 100 White,in stock,"5,85",3.5 - 5 mm,75% Katoen & 25% Lyocell,https://www.wollplatz.de/wolle/katia/katia-seacell-cotton
Phildar Phil Tutti Frutti 1089 Aqua,in stock,"5,69",4 mm,"40% katoen, 60% polyamide",https://www.wollplatz.de/wolle/phildar/phildar-phil-tutti-frutti
Phildar Phil Ocean 1089 Jean Bleached,in stock,"5,40",3.5 mm,"51% katoen, 49% polyester",https://www.wollplatz.de/wolle/phildar/phildar-phil-ocean
Katia Re-Tape Craft 300 Fuchsia / Ocher / Water Blue / White,out of product range,"5,89","5,5-6 mm",50% Gerecycled Katoen & 50% Gerecycled polyster uit plastic flessen,https://www.wollplatz.de/wolle/katia/katia-re-tape-craft
Phildar Phil Green 1225 Blanc,in stock,"5,89",5 mm,"70% biologisch katoen, 30% gerecyclede polyamide",https://www.wollplatz.de/wolle/phildar/phildar-phil-green
Katia 10 Shiny Shades 10 Grey,out of product range,"4,87",no data,70% Viscose & 30% Polyester,https://www.wollplatz.de/wolle/katia/katia-10-shiny-shades
Katia Marmara 100 Blue / Rust Brown / Dark Blue,in stock,"5,85",4 - 5 mm,"65% Katoen, 23% Zijde & 12% Viscose",https://www.wollplatz.de/wolle/katia/katia-marmara
Katia Bereber 70 Medium Green / Blue / White,in stock,"4,87",3 - 4 mm,"75% Katoen, 18% Viscose Ecovero, 5% Polyester & 2% Gemetalliseerd Polyester",https://www.wollplatz.de/wolle/katia/katia-bereber
Phildar Phil Eucalyptus 1149 Rose Des Sables,in stock,"6,38",6 mm,100% lyocell (eucalyptus),https://www.wollplatz.de/wolle/phildar/phildar-phil-eucalyptus
Katia Linum 50 Ecru,in stock,"5,85","4,5 - 5,5 mm","70% Katoen, 20% Gerecycled Linnen & 10% Polyamide",https://www.wollplatz.de/wolle/katia/katia-linum
Phildar Phil Bonbon 1019 Zeste,in stock,"5,89",7 mm,"38% Acryl, 34% Katoen & 28% Polyamide",https://www.wollplatz.de/wolle/phildar/phildar-phil-bonbon
Phildar Phil Berlingot 2019 Pollen,in stock,"4,42",3.5 mm,"60% Katoen, 8% Polyester & 32% Viscose",https://www.wollplatz.de/wolle/phildar/phildar-phil-berlingot
Lana Grossa Cotone 001 Rose,9 left,"2,41",2.5 - 3.5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cotone
Lana Grossa Jolie 001 White,in stock,"5,85",5 - 5.5 mm,75% Katoen & 25% Polyamide,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-jolie
Lana Grossa Cara 01 Pale Yellow,in stock,"7,82",4-4.5 mm,"57% alpacawol, 33% katoen, 10% merinowol",https://www.wollplatz.de/wolle/lana-grossa-cara
Lana Grossa Ecopuno Dégradé 401,in stock,"18,64",4-4.5 mm,"70% Katoen, 19% Merino Wol, 11% Alpaca",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-ecopuno-degrade
