,Stock,Price,Needle strength,Compilation,URL
DMC 117MC Mouliné Spécial Stickgarn 8m BLANC,in stock,"1,77",no data,100% Baumwolle,https://www.wollplatz.de/wolle/dmc/dmc-117mc-mouline-special-stickgarn-8m
Gütermann Polyester Nähgarn 200m 000,in stock,"3,88",no data,100% Polyester,https://www.wollplatz.de/wolle/gutermann/guetermann-polyester-naehgarn-200m
Durable Coral Mini 203 Light pink,in stock,"1,18","2,5 - 3,5 mm",100% Mercerisierte Baumwolle,https://www.wollplatz.de/wolle/durable/durable-coral-mini
Durable Norwool Plus 000,in stock,"4,18",4 - 5 mm,"40% Acryl, 40% Polyamide, 20% Wol",https://www.wollplatz.de/wolle/durable/durable-norwool-plus
Durable Norwool 000,in stock,"2,21","3 - 3,5 mm","55% Acryl, 20% Schurwolle, 25% Polyamid",https://www.wollplatz.de/wolle/durable/durable-norwool
Durable Farbige Baumwolle No. 8 202,in stock,"2,46","2,5 - 3 mm",100% Baumwolle,https://www.wollplatz.de/wolle/durable/durable-farbige-baumwolle-no-8
Lana Grossa Meilenweit 100 Puzzle 6122,out of product range,"7,38","2,5 - 3 mm","75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-100-puzzle
Lana Grossa Meilenweit 100 Denim Mix 7811,out of product range,"6,84","2,5-3 mm","75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-100-denim-mix
Lana Grossa Cool Merino Print 105 Taupe/nougat/gray beige,in stock,"7,82","5,5-6 mm","90% Schurwolle (Merino), 10% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cool-merino-print
Lana Grossa Cool Merino Uni 002 Fuchsia,in stock,"7,82","5,5 - 6 mm","90% Schurwolle (Merino), 10% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cool-merino-uni
Lana Grossa Puno Due 002 Lilac/taupe,in stock,"8,80","4 - 4,5 mm","63% Baumwolle, 37% Alpakawolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-puno-due
Lana Grossa Alpaca Moda 001 White,in stock,"8,80",6 - 7 mm,"74% Alpaca, 13% Merino, 13% Polyamide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-alpaca-moda
Rico Baby Dream Tweed dk 001,in stock,"5,40",4 mm,"45% Polyamid, 38% Polyacryl, 17% Viskose",https://www.wollplatz.de/wolle/lana-grossa/rico-baby-dream-tweed-dk
Rico Creative Mohair Melange 002,in stock,"8,84",8 mm,"40% Schurwolle, 31% Mohair, 27% Acryl, 2% Polyamid",https://www.wollplatz.de/wolle/rico/rico-creative-mohair-melange
Rico Creative Melange Aran Wonderball 012,in stock,"22,61",5 mm,no data,https://www.wollplatz.de/wolle/rico/rico-creative-melange-aran-wonderball
Rico Fashion Alpaca Bling Bling 001 Pastel,in stock,"7,37",7 - 8 mm,"40% Baumwolle, 24% Alpakawolle, 18% Polyacryl, 8% Wolle, 5% Polyamid, 5% Metallisiertes Garn",https://www.wollplatz.de/wolle/rico/rico-fashion-alpaca-bling-bling
Rico Fashion Skinny Alpaca Aran 001 Pastel,in stock,"10,81",4 mm mm,"48% Alpaka, 25% Schurwolle, 20% Polyamid, 7% Viskose",https://www.wollplatz.de/wolle/rico/rico-fashion-skinny-alpaca-aran
Durable Velvet 222 Bordeaux,in stock,"5,80",3-5 mm,100% Polyester,https://www.wollplatz.de/wolle/durable/durable-velvet
Stylecraft Special DK Alle Farben Paket,in stock,"290,12",4 mm,100% Acryl,https://www.wollplatz.de/pakete/rabattpakete/stylecraft-special-dk-alle-farben-paket
SMC Bravo 0002 Natur-tweed,in stock,"1,62",3 - 4 mm,100% Acryl,https://www.wollplatz.de/wolle/smc-schachenmayr/smc-bravo
Drops Soft Tweed Mix 02 Marzipan,in stock,"3,03",4 mm,"50% Wolle, 25% Alpakawolle, 25% Viscose",https://www.wollplatz.de/wolle/drops/drops-soft-tweed-mix
Drops Soft Tweed Uni Colour 01 Off white,out of stock for now,"3,03",4 mm,"50% Wolle, 25% Alpakawolle, 25% Viscose",https://www.wollplatz.de/wolle/drops/drops-soft-tweed-uni-colour
Pink Label Einführungspaket 1,in stock soon,"15,19",no data,no data,https://www.wollplatz.de/pakete/weitere-pakete/pink-label-einfuehrungspaket
Pink Label Acrylic Ribbon Alle Farben Paket,in stock soon,"31,08",6 - 7 mm,100% Acryl,https://www.wollplatz.de/pakete/weitere-pakete/pink-label-acrylic-ribbon-alle-farben-paket
Pink Label Cotton Tube Alle Farben Paket,in stock,"38,36",4 - 5 mm,100% Baumwolle,https://www.wollplatz.de/pakete/weitere-pakete/pink-label-cotton-tube-alle-farben-paket
Lana Grossa Setasuri 01 White,in stock,"7,82","3,5 - 4 mm","69% Alpaca, 31% Zijde",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-setasuri
Lana Grossa Ecopuno Tweed 301,out of stock for now,"8,80","4-4,5 mm","60% Baumwolle, 16% Polyester, 14% Alpaka, 10% Schurwolle Merino",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-ecopuno-tweed
Lana Grossa Silkhair Haze Mélange 1301 Black red mottled,1 left,"7,82","4,5 - 5 mm","70% Mohair, 30% Seide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-silkhair-haze-melange
Lana Grossa Brigitte No.4 001 Ecru,in stock,"7,82",4 - 5 mm,"80% Baumwolle, 20% Alpakawolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-brigitte-no4
Lana Grossa Romanza Cotone 09 Pistachio/petrol/black green/natural,out of product range,"5,85","4-4,5 mm","54% Katoen, 23% Linnen, 23% Viscose",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-romanza-cotone
Yarn and Colors Must-have 25  Farben Paket 1 Mixed,in stock,"59,01","2-3,5 mm",100% Baumwolle,https://www.wollplatz.de/pakete/weitere-pakete/yarn-and-colors-must-have-25-farben-paket
Yarn and Colors Must-have 50 Farben Paket,in stock,"110,64","2-3,5 mm",100% Baumwolle,https://www.wollplatz.de/pakete/weitere-pakete/yarn-and-colors-must-have-50-farben-paket
Yarn and Colors Must-have Alle Farben Paket,in stock,"240,95","2-3,5 mm",100% Baumwolle,https://www.wollplatz.de/pakete/weitere-pakete/yarn-and-colors-must-have-alle-farben-paket
Schachenmayr Catania Alle Farben Paket,out of stock for now,"338,56","2,5-3,5 mm",100% Baumwolle,https://www.wollplatz.de/pakete/weitere-pakete/schachenmayr-catania-alle-farben-paket
Yarn and Colors Baby Fabulous Alle Farben Paket,in stock,"94,66",4-5 mm,"45% Baumwolle, 55% Acryl",https://www.wollplatz.de/pakete/weitere-pakete/yarn-and-colors-baby-fabulous-alle-farben-paket
Pink Label Mixed Up Alle Farben Paket,in stock,"78,43","2 - 2,5 mm","Katoen, Acryl",https://www.wollplatz.de/pakete/weitere-pakete/pink-label-mixed-up-alle-farben-paket
Pink Label Organic Cotton Alle Farben Paket,in stock,"44,26","2 - 2,5 mm",100% Baumwolle,https://www.wollplatz.de/pakete/weitere-pakete/pink-label-organic-cotton-alle-farben-paket
Yarn and Colors Favorite Alle Farben Paket,in stock,"68,84",3 mm,100% Baumwolle,https://www.wollplatz.de/pakete/weitere-pakete/yarn-and-colors-favorite-alle-farben-paket
Catania Trend 2021 Garnpaket,out of product range,"28,67","2,5-3,5 mm",100% Baumwolle,https://www.wollplatz.de/pakete/rabattpakete/catania-trend-2021-garnpaket
Durable Rope 203 Light pink,out of product range,"7,82",6-8 mm,"70% Recycelten Baumwolle, 30% Recycelten Polyester",https://www.wollplatz.de/wolle/durable/durable-rope
Katia Re-Tape 202 Grey,out of product range,"3,49","5,5-6 mm","52% Polyester, 48% Baumwolle",https://www.wollplatz.de/wolle/katia/katia-re-tape
Katia Paraiso 100 Pastels / Purple,out of product range,"9,79","3-3,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-paraiso
Katia Pure 73 Red,out of product range,"5,85","4,5-5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-pure
Katia Eliseo 60 White,in stock,"5,41","3,5-4 mm","90% Baumwolle 9% Polyester, 1% Polyamide",https://www.wollplatz.de/wolle/katia/katia-eliseo
Katia Pluma 70 Beige,in stock,"5,41","4,5-5 mm","85% Baumwolle, 15% Polyamid ",https://www.wollplatz.de/wolle/katia/katia-pluma
Katia Cotton Cashmere Degradé 100,out of product range,"24,54","2,5-3,5 mm","90% Baumwolle, 10% Kaschmir ",https://www.wollplatz.de/wolle/katia/katia-cotton-cashmere-degrade
Pink Label Organic Cotton 012 Lizz - Cement grey,in stock,"2,56","2 - 2,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/pink-label/pink-label-organic-cotton
Pink Label Cotton Tube 012 Lizz - Cement grey,in stock,"3,54",4 - 5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/pink-label/pink-label-cotton-tube
Pink Label Acrylic Ribbon 018 Lisa - Taupe,in stock,"4,43",6 - 7 mm,100% Acryl,https://www.wollplatz.de/wolle/pink-label/pink-label-acrylic-ribbon
Pink Label Hugg 991 Tara - Blue,in stock,"4,18",5 - 6 mm,100% Polyester,https://www.wollplatz.de/wolle/pink-label/pink-label-hugg
Pink Label Mixed Up 010 Jessie - Smooth blue,in stock,"2,70","2 - 2,5 mm","60% Baumwolle, 40% Acryl ",https://www.wollplatz.de/wolle/pink-label/pink-label-mixed-up
Yarn and Colors Gentle 001 White,in stock,"1,97",5 mm,100% Recycelte Baumwolle,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-gentle
Yarn and Colors Amazing 001 White,in stock,"3,20",4 mm,100% Recycelte Acryl,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-amazing
Lana Grossa Alta Moda Cotolana Print 102 Dark olive / olive / gray green / gray / burgundy / salmon,in stock,"14,70","4,5-5 mm","45% Merinowolle, 45% Baumwolle, 10% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-alta-moda-cotolana-print
Lana Grossa Alessia 004 Golden yellow / light gray / gray brown,94 left,"5,85","4,5-5 mm","76% Baumwolle, 20% Recyceltes Polyester, 4% Polyester",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-alessia
Lana Grossa Amoroso 001 Grège / green beige / light gray / sand yellow,7 left,"12,74",4.5-5 mm,"33% Wolle 32% Acryl, 14% Seide, 14% Baumwolle, 7% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-amoroso
Lana Grossa Meilenweit 100 Solo Cotone Palma 3763,out of product range,"7,82","3-3,5 mm","87% Baumwolle, 13% Polyester",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-100-solo-cotone-palma
Lana Grossa Meilenweit 100 Cotton Bamboo Sabbia 2465,out of product range,"7,82","2,5-3 mm","40% Baumwolle, 25% Schurwolle, 20% Viskose (Bambus), 8% Polyamid, 7% Polyester",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-100-cotton-bamboo-sabbia
Lana Grossa Gomitolo Denim Grafitti 351 Yellow / pistachio / salmon / pink / light gray,out of product range,"24,54","3,5-4 mm","80% Baumwolle, 20% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-denim-graffiti
Lana Grossa Gomitolo Felice 715 Amber / curry / purple / pistachio / apricot,out of product range,"15,69","4-4,5 mm","70% Katoen, 30% Viscose",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-felice
Lana Grossa Gomitolo Sole 911 Gray,out of product range,"24,54","4 - 4,5 mm","58% Viskose, 42% Baumwolle ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-sole
Lana Grossa Gomitolo Pazzo 811 Brown / blue / gray colored,out of product range,"11,75","4,5-5 mm","52% Katoen, 48% Acryl",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-pazzo
Lana Grossa Per Fortuna 001 Rust,out of product range,"5,85","4-4,5 mm","74% Baumwolle, 26% Recyceltes Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-per-fortuna
Lana Grossa Allora 001 Yellow,out of product range,"8,80","3-3,5 mm","76% Baumwolle, 14% Merinowolle, 10% Alpakawolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-allora
Stylecraft Highland Heathers DK 3742 Granite,out of stock for now,"4,08",4 mm,100% Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-highland-heathers-dk
Lana Grossa Silkhair Haze Print 1209 Silver / Light Gray / Light Blue / Chocolate Brown,out of product range,"16,62","4,5-5 mm","70% Mohair, 30% Seide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-silkhair-haze-print
Drops Wish Uni Colour 04 Wheat,out of stock for now,"3,68",9 mm,"50% Alpaca, 33% Katoen, 17% Wol",https://www.wollplatz.de/wolle/drops/drops-wish-uni-colour
Drops Wish Naturel 01 Off white,in stock,"3,68",9 mm,"50% Alpaca, 33% Katoen, 17% Wol",https://www.wollplatz.de/wolle/drops/drops-wish-naturel
Drops Wish Mix 02 White fog,in stock,"3,68",9 mm,"50% Alpaca, 33% Katoen, 17% Wol",https://www.wollplatz.de/wolle/drops/drops-wish-mix
Katia United Socks 01,in stock,"1,97","2,5 mm","75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/katia/katia-united-socks
Katia Australis 201,3 left,"12,74","4,5-5,5 mm","70% Acryl, 30% Wolle ",https://www.wollplatz.de/wolle/katia/katia-australis
Katia Knit Ensemble 400 Off-white/Dark blue/Orange/Blue,out of product range,"22,57","5,5-6 mm","55% Schurwolle, 45% Acryl",https://www.wollplatz.de/wolle/katia/katia-knit-ensemble
Katia Soft Gratte 60 White,in stock,"3,44","3-3,5 mm","80% Acryl, 20% Polyamid",https://www.wollplatz.de/wolle/katia/katia-soft-gratte
Katia Kaleido 301 Brown/Grey/Blue,out of product range,"10,33","3,5-4 mm","80% Acryl, 10% Mohair, 10% Polyamid",https://www.wollplatz.de/wolle/katia/katia-kaleido
Durable Piece of Cake 7001,in stock,"7,28","2,5-3 mm","55% Baumwolle, 45% Acryl",https://www.wollplatz.de/wolle/durable/durable-piece-of-cake
Durable Colour Cake 6001,out of stock for now,"21,14",3 mm,"55% Baumwolle, 45% Acryl",https://www.wollplatz.de/wolle/durable/durable-colour-cake
Durable Cosy Fine Faded 227 Antique pink,in stock,"3,44","4-4,5 mm","58% Baumwolle, 42% Acryl",https://www.wollplatz.de/wolle/durable/durable-cosy-fine-faded
Lang Yarns Wooladdicts Hope 003 Light grey mélange,out of product range,"9,79",9-10 mm,100% Merinowolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-wooladdicts-hope
Lang Yarns Wooladdicts Glory 003 Light grey mélange,out of product range,"8,36",7-8 mm,100% Merinowolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-wooladdicts-glory
Lang Yarns London 007 Lilac,78 left,"5,85","4,5-5 mm","70% Wolle, 30% Acryl",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-london
Lang Yarns Mille Colori Socks & Lace 25,out of product range,"9,79","2,5-3,5 mm","75% Wolle, 25% Polyamid",https://www.wollplatz.de/artikel/34421/lang-yarns-mille-colori-socks-lace.html
Lana Grossa Brigitte No.3 Color 101 Fuchsia / orange / pink,out of product range,"14,70","5,5-6 mm","40% Mohair, 37% Merinowolle, 23% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-brigitte-no3-color
Lana Grossa Cool Wool Hand-Dyed 107 Bombay,out of stock for now,"14,70","3-3,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cool-wool-hand-dyed
Lana Grossa Ecopuno Hand-Dyed 507 Surya,in stock,"9,79","4-4,5 mm","72% Baumwolle, 17% Schurwolle (Merino), 11% Alpaka",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-ecopuno-hand-dyed
Lana Grossa Gomitolo Bene 751 Salmon/black brown/yellow/khaki/gray blue,out of product range,"17,65",4.5-5 mm,"60% Schurwolle, 40% Polyacryl",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-bene
Lana Grossa Gomitolo Finito 553 Rose/pale rose/dark green/blackberry,32 left,"24,54",4.5-5 mm,100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-finito
Lana Grossa Landlust Winterwolle 001 Lemon yellow,10 left,"8,80",8-9 mm,"50% Merinowolle, 35% Baumwolle, 15% Yak",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-landlust-winterwolle
Lana Grossa Meilenweit 100 Merino Hand-Dyed 307 Humalaya,out of product range,"13,72","2,5-3 mm","80% Schurwolle (Merino), 20% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-100-merino-hand-dyed
Lana Grossa Nuvoletta 001 Raw white,in stock,"7,82",4-5 mm,"42% Alpakawolle, 42% Merinowolle, 16% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-nuvoletta
Lana Grossa Silkhair Hand-Dyed 607 Champa,out of product range,"18,59","4-4,5 mm","70% Mohair, 30% Seide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-silkhair-hand-dyed
Stylecraft Cabaret DK 1095 Underwater Rainbow,in stock,"6,54",4 mm,"98% Premium Acryl, 2% Polyester",https://www.wollplatz.de/wolle/stylecraft/stylecraft-cabaret-dk
Lana Grossa Silkhair Degrade 806,out of product range,"16,62","4,5-5 mm","70% Mohair, 30% Seide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-silkhair-degrade
Katia Saigon 001 White,in stock,"4,82",2 - 4 mm,100% Acryl,https://www.wollplatz.de/wolle/katia/katia-saigon
Katia Cotton 100% 1 White,in stock,"3,69",2.5 - 3.5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-cotton
Lana Grossa Gomitolo Versione 424 Dark red purple/bordeaux/eggplant/fuchsia,in stock,"19,62","4,5-5 mm","60% Wolle, 40% Polyacryl ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-versione
Budgetyarn Chunky Acrylic 001 White,in stock,"1,23",8 mm,100% Acryl,https://www.wollplatz.de/wolle/budgetyarn/budgetyarn-chunky-acrylic
Budgetyarn Like Wool Baby 001 White,in stock,"1,23",3 mm,"70% Acryl, 30% Nylon",https://www.wollplatz.de/wolle/budgetyarn/budgetyarn-like-wool-baby
Hoooked RibbonXL Neon 1 Electric Lime,out of product range,"12,78",8-12 mm,"70% Baumwolle, 30% Recycelte Fasern",https://www.wollplatz.de/wolle/hoooked/hoooked-ribbon-xl-neon
Katia 50 Mohair Shades 001 Raw,in stock,"5,85",3-4 mm,"67% Superkid Mohair, 30% Polyamid, 3% Wolle ",https://www.wollplatz.de/wolle/katia/katia-50-mohair-shades
Katia Alma 300 Grey / Ecru / Black,out of product range,"7,82",6.5-7 mm,"93% Merinowolle, 7% Polyamid ",https://www.wollplatz.de/wolle/katia/katia-alma
Katia Baby Jacquard 85 Green water,out of product range,"3,44",4-4.5 mm,"50% Polyamid, 50% Acryl",https://www.wollplatz.de/wolle/katia/katia-baby-jacquard
Katia Eden 100 Roses,out of product range,"7,82",6.5-7 mm,"63% Merinowolle, 14% Viskose, 10% Mohair, 9% Alpakawolle, 4% Polyamid ",https://www.wollplatz.de/wolle/katia/katia-eden
Katia Sky 082 Dark gray,out of product range,"7,82",4-4.5 mm,"32% Baumwolle, 30% Merinowolle, 26% Polyamid, 12% Alpakawolle",https://www.wollplatz.de/wolle/katia/katia-sky
Katia Supreme Merino 080 Off-white,in stock,"3,88",5.5-6-7 mm,"45% Merinowolle, 45% Acryl, 10% Alpakawolle",https://www.wollplatz.de/wolle/katia/katia-supreme-merino
Katia Yoga 200 Grey / Beige,in stock,"6,84",4-5 mm,"45% Baumwolle, 42% Merinowolle, 13% Polyamid",https://www.wollplatz.de/wolle/katia/katia-yoga
Lana Grossa About Berlin Yak Salt 621 Yellow / Bordeaux / Dark Green / Grey,out of product range,"11,75",2.5-3 mm,"65% Wolle, 25% Polyamid, 10% Yak ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-about-berlin-meilenweit-salt
Lana Grossa Bingo Mélange (GOTS) 301 Lilac mottled,1 left,"5,85",4.5-5.5 mm,100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-bingo-melange-gots
Lana Grossa Colorissimo 003 Red / Petrol / Green / Pink / Bordeaux,out of product range,"12,74",4.5-5 mm,100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-colorissimo
Lana Grossa Cool Wool Big Mélange (GOTS) 201 Lilac mottled,6 left,"5,85",3.5-4 mm,100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cool-wool-big-melange-gots
Lana Grossa Cool Wool Lace 002 Dove Blue,in stock,"5,85",2-3 mm,100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cool-wool-lace
Lana Grossa Cool Wool Mélange (GOTS) 101 Lilac mottled,out of product range,"5,85",3-3.5 mm,100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cool-wool-melange-gots
Lana Grossa Meilenweit 100 Nessel Everest 5136 Yellow / dark blue / white / green / brown,out of product range,"7,82",2.5-3 mm,"70% Wolle, 20% Polyamid, 10% Nessel",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-100-nessel-everest
Lana Grossa Meilenweit 100 Sorbetto 6256 Dark blue / Grey,out of product range,"9,79",2.5-3 mm,"75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-100-sorbetto
Lana Grossa Silkhair Haze Dégradé 1101 Yellow / Ocher,23 left,"16,62","4,5-5 mm","70% Mohair, 30% Seide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-silkhair-haze-degrade
Lang Yarns Airolo 029 Melon,out of product range,"8,36",5.5-6 mm,100% Wolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-airolo
Lang Yarns Anouk 015 Nougat,out of product range,"8,80",8-9 mm,"50% Baby Alpaca, 50% Acryl",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-anouk
Lang Yarns Baby Alpaca 004 Black,out of product range,"9,34",3 mm,100% Alpakawolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-baby-alpaca
Lang Yarns Cashmere Cotton 048 Dusky pink,out of product range,"9,79",3.5-4.5 mm,"55% Kaschmir, 45% Baumwolle ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-cashmere-cotton
Lang Yarns Cashmere Lace 065 Pink,out of product range,"15,74",3-3.5 mm,100% Kaschmir,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-cashmere-lace
Lang Yarns Copenhagen 004 Black,out of product range,"6,39",4.5-5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-copenhagen
Lang Yarns Duke 003 Light Grey,out of product range,"8,80",8 mm,"65% Merinowolle, 20% Baby Alpakawolle, 15% Seide ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-duke
Lang Yarns Extra Ecru 4-fach (495m),out of product range,"3,69","1-1,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-extra-ecru
Lang Yarns Fantomas 004 Black,out of product range,"3,88",3-3.5 mm,"75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-fantomas
Lang Yarns Golf 124 Silver,out of product range,"3,69",3-4 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-golf
Lang Yarns Gordon 015 Nougat,out of product range,"11,75",4 mm,"92% Merinowolle, 8% Kaschmir ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-gordon
Lang Yarns Handarbeitsgarn 601 White,in stock,"2,70",3.5-4.5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-handarbeitsgarn
Lang Yarns Handarbeitsgarn Color 006 Royal printed,in stock,"3,69",3.5-4.5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-handarbeitsgarn-color
Lang Yarns Lyonel 097 Olive / Berry,out of product range,"10,77",9 mm,"86% Wolle, 14% Acryl",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-lyonel
Lang Yarns Malou Luxe 004 Black,1 left,"9,79",6-7 mm,"54% Alpakawolle, 23% Nylon, 14% Schurwolle, 9% Polyester ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-malou-luxe
Lang Yarns Marisa 094 Panna,out of product range,"4,87",2-3 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-marisa
Lang Yarns Marlene Luxe 024 Tin,out of product range,"6,84",4-4.5 mm,"55% Baumwolle, 40% Polyamid, 5% Polyester",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-marlene-luxe
Lang Yarns Merino 200 Bebe Color 392 Sage,in stock,"6,84",2.5-3.5 mm,100% Merinowolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-merino-200-bebe-color
Lang Yarns Mohair Luxe Paillettes 010 Steel blue,out of product range,"14,70",3-3.5 mm,"41% Superkid Mohair, 37% Wolle, 20% Seide, 2% Polyester",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-mohair-luxe-paillettes
Lang Yarns Omega + 001 White,out of product range,"3,15","5-5,5 mm","50% Polyamid, 50% Acryl",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-omega-plus
Lang Yarns Oslo 034 Jeans,out of product range,"6,84",3-3.5 mm,"46% merino, 42% katoen, 12% kameel",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-oslo
Lang Yarns Super Soxx 6-ply 016 Light green,out of product range,"10,33",3-4 mm,"75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-super-soxx-6-ply
Lang Yarns Super Soxx Cashmere Color 029 Red/grey,out of product range,"14,70",2.5-3.5 mm,"65% Wolle, 25% Polyamid, 10% Kaschmir ",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-super-soxx-cashmere-color
Lang Yarns Tissa Color 258 Multicolour orange/green/blue,in stock,"4,87",3.5-4.5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-tissa-color
Lang Yarns Touring 001 White,out of product range,"4,13",4-5 mm,"75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-touring
SMC Soft Linen Mix Color 080 Linen Color,out of product range,"3,88","3-3,5 mm","70% Viskose, 30% Leinen",https://www.wollplatz.de/wolle/smc-schachenmayr/smc-soft-linen-mix-color
Yarn and Colors Elegant 002 Cream,in stock,"2,95","3,5-4 mm","25% Mohair, 25% Wolle, 50% Acryl",https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-elegant
Yarn and Colors Favorite 001 White,in stock,"1,97",3 mm,100% Baumwolle,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-favorite
Budgetyarn Acrylic DK 001 White,in stock,"1,23",4 mm,100% Acryl,https://www.wollplatz.de/wolle/budgetyarn/budgetyarn-acrylic-dk
Budgetyarn Chunky Chenille 001 White,in stock,"1,23",5 mm,100% Polyester,https://www.wollplatz.de/wolle/budgetyarn/budgetyarn-chunky-chenille
Budgetyarn Cotton DK 001 White,in stock,"1,23",2-3 mm,100% Baumwolle,https://www.wollplatz.de/wolle/budgetyarn/budgetyarn-cotton-dk
Budgetyarn Soft Aran 001 White,in stock,"1,23",4 mm,"68% Polyester, 32% Nylon ",https://www.wollplatz.de/wolle/budgetyarn/budgetyarn-soft-aran
