,stock,price,needle strength,compilation,url
Rico Sticktwist Metallic Stickgarn No. 10 40m 313 Pink,"
Lieferbar
","5,40",no data,no data,https://www.wollplatz.de/wolle/rico/rico-sticktwist-metallic-stickgarn-no-10-40m
Lana Grossa Gomitolo Selezione 2 2001 Salmon / Nature / Beige / Rose,"
Der Artikel ist nicht mehr im Sortiment und kann nicht mehr bestellt werden. 
","9,79",4.5 - 5 mm,75% Katoen & 25% Viscose,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-selezione-2
Lana Grossa Gomitolo Selezione 1 1001 Red / Bright Pink / Orange / Yellow / Rose / Raw White,"
Begrenzter Vorrat: 8
","9,79",4.5 - 5 mm,"80% Katoen, 10% Viscose & 10% Polyacrylic",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-selezione-1
Lana Grossa Bacca 001,"
Lieferbar
","5,85",4.5 - 5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lana-grossa/langa-grossa-bacca
Rico Essentials Organic Cotton Aran 001 White,"
Halten Sie mich auf dem Laufenden Senden Sie mir eine E-Mail, wenn das Produkt verfügbar ist
Senden

","3,43",4 - 5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-essentials-organic-cotton-aran
Rico Essentials Organic Cotton dk 001 White,"
Lieferbar
","3,43",4 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-essentials-organic-cotton-dk
Schachenmayr Catania A Journey Underwater,"
Lieferbar
","39,29",no data,no data,https://www.wollplatz.de/pakete/garnpakete/schachenmayr-catania-a-journey-underwater
Durable Soqs Tweed 225 Vintage Pink,"
Lieferbar
","3,54",2.5 - 3 mm,"72% Superwash wol, 25% Polyamide & 3% Viscose",https://www.wollplatz.de/wolle/durable/durable-soqs-tweed
Lang Yarns Wooladdicts Pride 023 Silver,"
Der Artikel ist nicht mehr im Sortiment und kann nicht mehr bestellt werden. 
","10,77","3,5 - 4 mm","40% Linnen, 32% Katoen & 28% Viscose",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-wooladdicts-pride
Lang Yarns Wooladdicts Joy 027 Peony,"
Begrenzter Vorrat: 14
","5,85","5 - 5,5 mm",50% Organic Katoen & 50% Lyocell,https://www.wollplatz.de/woll/lang-yarns/lang-yarns-wooladdicts-joy
Lang Yarns Lotus 003 Grey,"
Lieferbar
","9,79","3 - 3,5 mm",60% Katoen & 40% Kasjmier,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-lotus
Lang Yarns Carly 009 Rose,"
Begrenzter Vorrat: 13
","5,85","3 - 3,5 mm",80% Katoen & 20% Nylon,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-carly
Lang Yarns Aura 009 Rose,"
Lieferbar
","7,82",4 - 5 mm,81% Katoen & 19% Nylon,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-aura
Lang Yarns Regina 013 Pale Yellow,"
Lieferbar
","9,79","3,5 - 4 mm",no data,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-regina
Lang Yarns Crealino 003 Grey,"
Lieferbar
","8,36",3 - 4 mm,no data,https://www.wollplatz.de/wolle/lang-yarns/lang-yarns-crealino
Lang Yarns Linello 015 Cognac / Bordeaux,"
Lieferbar
","13,72","3,5 - 4 mm","40% Linnen, 32% Katoen & 28% Viscose",https://www.wollplatz.de/wolle/lang-yarns/lang-yarns/linello
Pink Label Create-it 010 Jesse - Smooth Blue,"
Lieferbar
","8,85",7 - 8 mm,100% Polyester,https://www.wollplatz.de/wolle/pink-label/pink-label-create-it
Pink Label Felt-it 012 Lizz - Cement Grey,"
Lieferbar
","3,44",5 - 6 mm,100% Nylon,https://www.wollplatz.de/wolle/pink-label/pink-label-felt-it
Katia Mediterranea 400 Turquoise / Fuchsia / Yellow,"
Lieferbar
","9,79",2.5 - 3.5 mm,100% Egyptisch Katoen,https://www.wollplatz.de/wolle/katia/katia-mediterranea
Katia Missouri 1 White,"
Lieferbar
","3,44","2,5-3,5 mm",60% Katoen & 40% Acryl,https://www.wollplatz.de/wolle/katia/katia-missouri
Katia Sonajero 202 Pale Red / Green,"
Lieferbar
","3,92","2,5 - 3,5 mm",60% Katoen & 40% Acryl,https://www.wollplatz.de/wolle/katia/katia-sonajero
Katia New Cancun 51 Light Beige,"
Lieferbar
","2,90",3 - 3.5 mm,50% Acryl & 50% Katoen,https://www.wollplatz.de/wolle/katia/katia-new-cancun
Katia Alabama 1 White,"
Lieferbar
","3,44","3,5-4 mm",50% Acryl & 50% Katoen,https://www.wollplatz.de/wolle/katia/katia-alabama
Katia Easy Knit Cotton 1 White,"
Begrenzter Vorrat: 13
","6,84",5-6 mm,100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-easy-knit-cotton
Katia Yucatán 080 Fawn Brown,"
Der Artikel ist nicht mehr im Sortiment und kann nicht mehr bestellt werden. 
","5,11",4.5 - 5.5 mm,"39% Viscose, 38% Polyester, 16% Katoen & 7% Polyamide",https://www.wollplatz.de/wolle/katia/katia-yucatan
Katia Macramé Cord 100 Ecru,"
Lieferbar
","11,75",5 mm,"65% Katoen, 25% Polyester & 10% Overige vezels",https://www.wollplatz.de/wolle/katia/katia-macrame-cord
Katia Macramé Cord Fine 200 White,"
Lieferbar
","6,84",2.5 mm,50% Gerecycled katoen & 50% Gerecycled polyester,https://www.wollplatz.de/wolle/katia/katia-macrame-cord-fine
Katia Soft Macramé 500 Bleach Brown,"
Lieferbar
","14,70",10 mm,50% Gerecycled Katoen & 50% Organisch Katoen,https://www.wollplatz.de/wolle/katia/katia-soft-macrame
Katia United Cotton 1 White,"
Lieferbar
","1,48",4-5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-united-cotton
Katia Fair Cotton Mariner 200 Ocean Blue / Dark Turquoise / White,"
Lieferbar
","22,52","2,5-3,5 mm",100% Organisch Katoen GOTS,https://www.wollplatz.de/wolle/katia/katia-fair-cotton-mariner
Katia Homemade 100 Ecru,"
Lieferbar
","6,84",7 - 9 mm,68% Katoen & 32% Polyamide,https://www.wollplatz.de/wolle/katia/katia-homemade
Katia Baby Ultrasoft 060 White,"
Lieferbar
","2,90",4-4.5 mm,100% Acryl,https://www.wollplatz.de/wolle/katia/katia-baby-ultrasoft
Katia Linen 001 White,"
Lieferbar
","4,43",3 - 4 mm,53% Katoen & 47% Linnen,https://www.wollplatz.de/wolle/katia/katia-linen
Katia Sweet Cocoon 80 White,"
Lieferbar
","4,87","4,4.5 & 5 mm",65% Viscose & 35% Polyamide,https://www.wollplatz.de/wolle/katia/katia-sweet-cocoon
Katia Panama 1 White,"
Lieferbar
","3,69","2,5-3 mm",100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-panama
Katia Ekos 100 White,"
Lieferbar
","2,90",5-5.5 mm,"50% Gerecycled Katoen, 47% Gerecycled polyester uit plastic flessen & 3% Overige vezels",https://www.wollplatz.de/wolle/katia/katia-ekos
